index,name,rating,category,price,address,city,zipcode,country,full_address,image_url,phone,latitudes,longitudes
21,Arena Patio Restaurant,3.5,Italian,$$,873 Wethersfield Ave,Hartford,6114,US,"Arena Patio Restaurant, 873 Wethersfield Ave, Hartford, CT 06114, ",https://s3-media2.fl.yelpcdn.com/bphoto/mixWfwrUbKN5NltU_3Kz3A/o.jpg,(860) 296-2483,41.73201359999999,-72.6701982
22,Aroma Bistro,4.5,Burgers,$,227 Main St,Wethersfield,6109,US,"Aroma Bistro, 227 Main St, Wethersfield, CT 06109, ",https://s3-media2.fl.yelpcdn.com/bphoto/7tZRPUHEc4a_lCzhgsTHKw/o.jpg,(860) 436-5772,41.7125213,-72.6529597
23,Artichoke Basille’s Pizza,4.0,Pizza,$$,114 Asylum St,Hartford,6103,US,"Artichoke Basille’s Pizza, 114 Asylum St, Hartford, CT 06103, ",https://s3-media2.fl.yelpcdn.com/bphoto/Xzgd8xI09UhPPreE7aleNg/o.jpg,(860) 969-6128,41.76721209999999,-72.6752133
24,Artisan Restaurant,3.5,Breakfast & Brunch,$$$,1 Memorial Rd,West Hartford,6107,US,"Artisan Restaurant, 1 Memorial Rd, West Hartford, CT 06107, ",https://s3-media3.fl.yelpcdn.com/bphoto/yIZOPOXmVX6Ox2aR-iD2Bw/o.jpg,(860) 937-2525,41.7595038,-72.7389273
25,Arugula,4.0,Mediterranean,$$,953 Farmington Ave,West Hartford,6107,US,"Arugula, 953 Farmington Ave, West Hartford, CT 06107, ",https://s3-media1.fl.yelpcdn.com/bphoto/8IvsXDwgMLnxQJPggPGodA/o.jpg,(860) 561-4888,41.7615591,-72.7427723
26,Ashley's Restaurant,3.5,American (Traditional),$,221 Main St,Hartford,6106,US,"Ashley's Restaurant, 221 Main St, Hartford, CT 06106, ",https://s3-media2.fl.yelpcdn.com/bphoto/ppY1fOeB--nUrVznbdI6qA/o.jpg,(860) 247-8730,41.7584394,-72.6756575
27,Asia 2000 Chinese Restaurant,2.5,Chinese,$$,520 Windsor Ave,Windsor,6095,US,"Asia 2000 Chinese Restaurant, 520 Windsor Ave, Windsor, CT 06095, ",https://s3-media1.fl.yelpcdn.com/bphoto/-Vc-ZqAvou786W7qnMZbdw/o.jpg,(860) 688-9911,41.8200941,-72.654951
28,Atrium Café and Bar,4.0,American (New),$$,100 Great Meadow Rd,Wethersfield,6109,US,"Atrium Café and Bar, 100 Great Meadow Rd, Wethersfield, CT 06109, ",https://s3-media3.fl.yelpcdn.com/bphoto/j3LBBGgJl_s4LjDmzQYL4A/o.jpg,(860) 757-3344,41.7139144,-72.6436315
29,Au Bon Pain,3.0,Sandwiches,$$,80 Seymour St,Hartford,6106,US,"Au Bon Pain, 80 Seymour St, Hartford Hospital, Hartford, CT 06106",https://s3-media4.fl.yelpcdn.com/bphoto/P8Eh5MaZprMNSo5H4Z47Sw/o.jpg,(860) 241-8260,41.7543354,-72.6799722
30,Au Bon Pain,3.0,Fast Food,$$,114 Woodland St,Hartford,6105,US,"Au Bon Pain, 114 Woodland St, Hartford, CT 06105, ",https://s3-media2.fl.yelpcdn.com/bphoto/S9VKMA8HaUaopbNFaOy04A/o.jpg,(860) 241-8980,41.7745877,-72.69849190000001
31,Augie & Ray's Drive In,4.0,Burgers,$,314 Main St,East Hartford,6118,US,"Augie & Ray's Drive In, 314 Main St, East Hartford, CT 06118, ",https://s3-media1.fl.yelpcdn.com/bphoto/Aio2YMFxPG-mry8cCjv8oA/o.jpg,(860) 568-3770,41.7441688,-72.6328039
32,a'VERT Brasserie,4.0,Brasseries,$$,35 A Lasalle Rd,West Hartford,6107,US,"a'VERT Brasserie, 35 A Lasalle Rd, West Hartford, CT 06107, ",https://s3-media1.fl.yelpcdn.com/bphoto/_Tm-8p2BJktASF0nnPDokQ/o.jpg,(860) 904-6240,41.7603606,-72.7447956
33,B.GOOD,3.5,Salad,$$,140 Glastonbury Blvd,Glastonbury,6033,US,"B.GOOD, 140 Glastonbury Blvd, Glastonbury, CT 06033, ",https://s3-media2.fl.yelpcdn.com/bphoto/V1XgRLiy79K4qMiFCVR8Sw/o.jpg,(860) 633-1630,41.720303,-72.62095
34,Baltyk European Deli,5.0,Delis,,731 Wethersfield Ave,Hartford,6114,US,"Baltyk European Deli, 731 Wethersfield Ave, Hartford, CT 06114, ",https://s3-media4.fl.yelpcdn.com/bphoto/3ktqVZmF8UielAyyLFrCHQ/o.jpg,,41.7359035,-72.6710243
35,Banana Brazil,4.5,Brazilian,$$,341 New Park Ave,Hartford,6106,US,"Banana Brazil, 341 New Park Ave, Hartford, CT 06106, ",https://s3-media1.fl.yelpcdn.com/bphoto/fhKkBCcg4Z5p4pwV9nCoiA/o.jpg,(860) 206-9188,41.7468756,-72.7137383
36,Bangkok Spice,4.5,Thai,,77 Pratt St,Hartford,6103,US,"Bangkok Spice, 77 Pratt St, Hartford, CT 06103, ",https://s3-media3.fl.yelpcdn.com/bphoto/oK0iF6g7rC8QO38eMSYuSg/o.jpg,(860) 263-8035,41.76762009999999,-72.67470469999999
37,Banh Meee,4.5,Vietnamese,$,399 Capitol Ave,Hartford,6106,US,"Banh Meee, 399 Capitol Ave, Hartford, CT 06106, ",https://s3-media4.fl.yelpcdn.com/bphoto/07OzB4mXRS3Q41-ei_5ZJQ/o.jpg,(860) 880-2264,41.7671378,-72.6779486
38,Barb's Pizza,4.5,Pizza,,968 Farmington Ave,West Hartford,6107,US,"Barb's Pizza, 968 Farmington Ave, West Hartford, CT 06107, ",https://s3-media4.fl.yelpcdn.com/bphoto/jvqpfgiKA4kRK13WieRewQ/o.jpg,(860) 206-3381,41.7620356,-72.74348839999999
39,Barcelona - West Hartford,4.5,Wine Bars,$$$,971 Farmington Ave,West Hartford,6107,US,"Barcelona - West Hartford, 971 Farmington Ave, West Hartford, CT 06107, ",https://s3-media1.fl.yelpcdn.com/bphoto/vguvoFtqgx3qsBZ4qoUCmQ/o.jpg,(860) 218-2100,41.7611968,-72.7431745
40,bartaco - West Hartford,4.0,Mexican,$$,971 Farmington Ave,West Hartford,6107,US,"bartaco - West Hartford, 971 Farmington Ave, West Hartford, CT 06107, ",https://s3-media2.fl.yelpcdn.com/bphoto/UMxpIG2IW61bShBmDABihA/o.jpg,(860) 586-8226,41.7613278,-72.7434083
41,Beachland Tavern,4.0,American (New),$$,1128 New Britain Ave,West Hartford,6110,US,"Beachland Tavern, 1128 New Britain Ave, West Hartford, CT 06110, ",https://s3-media2.fl.yelpcdn.com/bphoto/e5LF7lqtMYYg9n-luXgv-A/o.jpg,(860) 263-7167,41.7332284,-72.73245510000001
42,Bear's Smokehouse Barbecue,4.0,Barbeque,$$,25 Front St,Hartford,6103,US,"Bear's Smokehouse Barbecue, 25 Front St, Hartford, CT 06103, ",https://s3-media4.fl.yelpcdn.com/bphoto/mWGJirG01KUybHmYtO1uiA/o.jpg,(860) 785-8772,41.7626991,-72.6713982
43,Bella Gourmet Pizzeria,3.5,Pizza,$,125 Fenn Rd,Newington,6111,US,"Bella Gourmet Pizzeria, 125 Fenn Rd, Newington, CT 06111, ",https://s3-media3.fl.yelpcdn.com/bphoto/SjZpy8pStO7m3Z__fuSDHg/o.jpg,(860) 667-0330,41.701345,-72.755313
44,Bellie's Grille & Catering,5.0,Seafood,,77 Barbour St,Hartford,6120,US,"Bellie's Grille & Catering, 77 Barbour St, Hartford, CT 06120, ",,(860) 904-6522,41.7874331,-72.679183
45,Benjie's Jamaican Restaurant,3.5,Caribbean,,1488 Albany Ave,Hartford,6112,US,"Benjie's Jamaican Restaurant, 1488 Albany Ave, Hartford, CT 06112, ",https://s3-media1.fl.yelpcdn.com/bphoto/u_CuSI4kZVV_P0Vil-LSbg/o.jpg,(860) 244-9974,41.7840206,-72.701683
46,Bert’s Pizzaria,4.5,Pizza,,264 Park Rd,West Hartford,6119,US,"Bert’s Pizzaria, 264 Park Rd, West Hartford, CT 06119, ",https://s3-media4.fl.yelpcdn.com/bphoto/Vzsm_qWONw-pSdPK3mY_-g/o.jpg,(860) 236-8438,41.7571961,-72.7263519
47,Bertucci's Italian Restaurant,2.5,Italian,$$,2882 Main St,Glastonbury,6033,US,"Bertucci's Italian Restaurant, 2882 Main St, Glastonbury, CT 06033, ",https://s3-media2.fl.yelpcdn.com/bphoto/KxY07VxKUFugReqElnd5Gg/o.jpg,(860) 633-2225,41.7218843,-72.6138514
48,Between Rounds Bakery Sandwich Cafe,3.5,Bagels,$,19 John Fitch Blvd,South Windsor,6074,US,"Between Rounds Bakery Sandwich Cafe, 19 John Fitch Blvd, South Windsor, CT 06074, ",https://s3-media3.fl.yelpcdn.com/bphoto/_F_SVoHlS-GTEZnX8ZCQNw/o.jpg,(860) 291-8780,41.7998361,-72.61898359999999
49,Bijou Restaurant,4.5,Portuguese,$$,9 Heath St,Hartford,6106,US,"Bijou Restaurant, 9 Heath St, Hartford, CT 06106, ",https://s3-media1.fl.yelpcdn.com/bphoto/gm-1VK3aZrCl-z6pgdGhWw/o.jpg,(860) 233-6010,41.7568085,-72.7109481
50,Bin228 Panini & Wine Bar,4.0,Italian,$$,228 Pearl St,Hartford,6103,US,"Bin228 Panini & Wine Bar, 228 Pearl St, Hartford, CT 06103, ",https://s3-media4.fl.yelpcdn.com/bphoto/5ndqLkCI8GIiV2jXwQim6A/o.jpg,(860) 244-9463,41.7666355,-72.6775287
51,Black Bamboo Chinese Restaurant,4.0,Chinese,$$,844 Farmington Ave,West Hartford,6119,US,"Black Bamboo Chinese Restaurant, 844 Farmington Ave, West Hartford, CT 06119, ",https://s3-media3.fl.yelpcdn.com/bphoto/7dnT7Y6HrGblrJqiTQFuSg/o.jpg,(860) 236-8888,41.7644057,-72.732221
52,Black-Eyed Sally's,4.0,Barbeque,$$,350 Asylum St,Hartford,6103,US,"Black-Eyed Sally's, 350 Asylum St, Hartford, CT 06103, ",https://s3-media2.fl.yelpcdn.com/bphoto/LXkUo7yH-Bg9nCQylM30qQ/o.jpg,(860) 278-7427,41.7676819,-72.679495
53,Blue Plate Kitchen,3.5,Diners,$$,345 N Main St,West Hartford,6117,US,"Blue Plate Kitchen, 345 N Main St, West Hartford, CT 06117, ",https://s3-media4.fl.yelpcdn.com/bphoto/isUWKj-yq8XvZanW6f5Kmg/o.jpg,(860) 906-1419,41.7846583,-72.7484139
54,Blue State Coffee,4.0,Coffee & Tea,$$,777 Main St,Hartford,6103,US,"Blue State Coffee, 777 Main St, Hartford, CT 06103, ",https://s3-media1.fl.yelpcdn.com/bphoto/8CFNASUaJg_Mjfmkj-AV4w/o.jpg,(860) 216-1255,41.7661999,-72.6735387
55,Bombay Olive,3.5,Indian,$$,450 S Main St,West Hartford,6110,US,"Bombay Olive, 450 S Main St, West Hartford, CT 06110, ",https://s3-media3.fl.yelpcdn.com/bphoto/GlgJDeKntGt8UXhi9BzkAg/o.jpg,(860) 561-3000,41.73210599999999,-72.742885
56,Boston Market,3.5,Comfort Food,$,417 Cottage Grove Rd,Bloomfield,6002,US,"Boston Market, 417 Cottage Grove Rd, Bloomfield, CT 06002, ",https://s3-media4.fl.yelpcdn.com/bphoto/6AcdmlWjp8bMFQdK5IaKAw/o.jpg,(860) 243-3400,41.817605,-72.7162815
57,Boston Market,3.0,Comfort Food,$,2834 Main St,Glastonbury,6033,US,"Boston Market, 2834 Main St, Glastonbury, CT 06033, ",https://s3-media4.fl.yelpcdn.com/bphoto/zngwpZwC_xXQ9qQlaphMjg/o.jpg,(860) 659-2850,41.7203097,-72.61379459999999
59,Brazil Grill,4.0,Brazilian,$$,1996 Park St,Hartford,6106,US,"Brazil Grill, 1996 Park St, Hartford, CT 06106, ",https://s3-media3.fl.yelpcdn.com/bphoto/k_CN0LNnE7MhjL7RP_MvVg/o.jpg,(860) 523-5477,41.756486,-72.7119678
60,Broasterant,4.5,Comfort Food,$,630 Park St,Hartford,6106,US,"Broasterant, 630 Park St, Hartford, CT 06106, ",https://s3-media1.fl.yelpcdn.com/bphoto/z2xsOp4WZpGZQQwCIqFh5g/o.jpg,(860) 525-1155,41.7581633,-72.68739699999999
61,Brooklyn Ramen,4.0,Ramen,$$,37 Raymond Rd,West Hartford,6107,US,"Brooklyn Ramen, 37 Raymond Rd, Maruichi Japanese Food & Deli, West Hartford, CT 06107",https://s3-media4.fl.yelpcdn.com/bphoto/BFZvhq6Ms51HwMiss2TzSg/o.jpg,(860) 904-2754,41.7611788,-72.73977570000001
62,Bruegger's Bagels,3.0,Bagels,$,1 S Main St,W Hartford,6107,US,"Bruegger's Bagels, 1 S Main St, W Hartford, CT 06107, ",https://s3-media3.fl.yelpcdn.com/bphoto/XdlGTcPM8plIqJzDO0YvPg/o.jpg,(860) 236-9565,41.7617053,-72.74244949999999
63,Bruegger's Bagels,3.0,Bagels,$,2801 Main St,Glastonbury,6033,US,"Bruegger's Bagels, 2801 Main St, Glastonbury, CT 06033, ",https://s3-media4.fl.yelpcdn.com/bphoto/TuTHarxZ7fD9s9ebj0svcA/o.jpg,(860) 659-4540,41.719096,-72.6142893
64,Buon Appetito Food Truck,3.0,Italian,$,500 Statehouse Square,Hartford,6183,US,"Buon Appetito Food Truck, 500 Statehouse Square, Hartford, CT 06183, ",https://s3-media1.fl.yelpcdn.com/bphoto/cAeEbBqq4XDc9WC5RCUzWw/o.jpg,,41.7662892,-72.6723583
65,Burger and Pizza Land,1.0,Pizza,,295 Barbour St,Hartford,6120,US,"Burger and Pizza Land, 295 Barbour St, Hartford, CT 06120, ",https://s3-media1.fl.yelpcdn.com/bphoto/XujOasoVspXXAXzXRg4EWw/o.jpg,(860) 246-1181,41.793292,-72.67743779999999
66,Burger King,1.0,Burgers,$,914 New Britain Ave,Hartford,6106,US,"Burger King, 914 New Britain Ave, Hartford, CT 06106, ",https://s3-media4.fl.yelpcdn.com/bphoto/6EoKslQlOAAwpVnt_9FoDg/o.jpg,(860) 953-8450,41.7317362,-72.7146173
67,Burger King,2.5,Fast Food,$,872 Silas Deane Hwy,Wethersfield,6109,US,"Burger King, 872 Silas Deane Hwy, Wethersfield, CT 06109, ",https://s3-media4.fl.yelpcdn.com/bphoto/YJ7muf1Gz3FRSWAYFzDJQQ/o.jpg,(860) 721-1366,41.6997747,-72.6585697
68,Burger King,1.5,Burgers,$,19 Granby Street,Bloomfield,6002,US,"Burger King, 19 Granby Street, Bloomfield, CT 06002, ",https://s3-media3.fl.yelpcdn.com/bphoto/AFYk8EC2w1eTS3hwRQ8lNg/o.jpg,(860) 242-1818,41.81650519999999,-72.7097565
69,Burger King,2.5,Fast Food,$,3025 Main Street,Glastonbury,6033,US,"Burger King, 3025 Main Street, Glastonbury, CT 06033, ",https://s3-media3.fl.yelpcdn.com/bphoto/WwTT6YORmva3ePVBOMFAHQ/o.jpg,(860) 659-2877,41.7265017,-72.6175964
70,Burger King,1.5,Burgers,$,186 Prospect Ave,Hartford,6106,US,"Burger King, 186 Prospect Ave, Hartford, CT 06106, ",https://s3-media4.fl.yelpcdn.com/bphoto/hcuMrcnx4hx9i47bwAVPQw/o.jpg,(860) 236-0029,41.7516226,-72.7146703
71,Burger King,2.0,Fast Food,$,524 Farmington Ave,Hartford,6105,US,"Burger King, 524 Farmington Ave, Hartford, CT 06105, ",https://s3-media1.fl.yelpcdn.com/bphoto/7kFHXBnALjV9AXAezzApNw/o.jpg,(813) 512-8981,41.7667546,-72.70945069999999
72,Burger King,2.0,Burgers,$,708 Silver Lane,East Hartford,6118,US,"Burger King, 708 Silver Lane, East Hartford, CT 06118, ",https://s3-media3.fl.yelpcdn.com/bphoto/8O83eVn3B5J1ObcjhN6jMQ/o.jpg,(860) 568-9837,41.7643859,-72.61360599999999
73,Burger King,1.5,Burgers,$,70 Airport Rd,Hartford,6114,US,"Burger King, 70 Airport Rd, Hartford, CT 06114, ",https://s3-media1.fl.yelpcdn.com/bphoto/hH16C2gLA4H-eek8d5AmXw/o.jpg,(860) 296-6240,41.7383716,-72.6681062
74,Burger King,3.0,Fast Food,$,102 Weston Street,Hartford,6120,US,"Burger King, 102 Weston Street, Hartford, CT 06120, ",https://s3-media1.fl.yelpcdn.com/bphoto/Xhoyv3IpXDt5rdUjkvdiFA/o.jpg,(860) 560-2614,41.787993,-72.6603073
75,Burger King,1.0,Burgers,$,811 Main Street,Hartford,6103,US,"Burger King, 811 Main Street, Hartford, CT 06103, ",https://s3-media1.fl.yelpcdn.com/bphoto/alvVdocObANtgnMNi7tTwQ/o.jpg,(860) 246-2442,41.7664105,-72.6734662
76,Butterfly Restaurant,3.0,Chinese,$$,831 Farmington Ave,West Hartford,6119,US,"Butterfly Restaurant, 831 Farmington Ave, West Hartford, CT 06119, ",https://s3-media1.fl.yelpcdn.com/bphoto/RhvbdxcphbKThT7_vfWCoQ/o.jpg,(860) 236-2816,41.7640333,-72.7310928
77,Cafe Sofia,3.5,Coffee & Tea,$,984 Farmington Ave,West Hartford,6107,US,"Cafe Sofia, 984 Farmington Ave, West Hartford, CT 06107, ",https://s3-media1.fl.yelpcdn.com/bphoto/-Lrl1sPB_b_-bQPeB7JFow/o.jpg,(860) 899-3433,41.7613235,-72.7446968
78,Campus Pizza,2.0,Pizza,$$,1258 Broad St,Hartford,6106,US,"Campus Pizza, 1258 Broad St, Hartford, CT 06106, ",https://s3-media2.fl.yelpcdn.com/bphoto/Rv_Gp6eAawQGNrCeDc7Z3g/o.jpg,(860) 246-3663,41.7521303,-72.6868946
79,Capitol View Deli,2.0,Delis,$$,628 Asylum Ave,Hartford,6105,US,"Capitol View Deli, 628 Asylum Ave, Hartford, CT 06105, ",https://s3-media2.fl.yelpcdn.com/bphoto/3apQi9rJ5LG2ql6E45Evcw/o.jpg,(860) 293-2186,41.768559,-72.684545
80,Caral Lounge,1.5,Peruvian,$$,1429 Park St,Hartford,6106,US,"Caral Lounge, 1429 Park St, Hartford, CT 06106, ",https://s3-media2.fl.yelpcdn.com/bphoto/vfHn_4gFAfzuRCiBybs5rw/o.jpg,(860) 310-2999,41.7572222,-72.7025
81,Carbone's Kitchen,3.5,Italian,$$,6 Wintonbury Ave,Bloomfield,6002,US,"Carbone's Kitchen, 6 Wintonbury Ave, Bloomfield, CT 06002, ",https://s3-media3.fl.yelpcdn.com/bphoto/utkl4SNy-uxfbsSEkGDBAg/o.jpg,(860) 904-2111,41.8314507,-72.7359002
82,Carbone's Ristorante,4.0,Italian,$$$,588 Franklin Ave,Hartford,6114,US,"Carbone's Ristorante, 588 Franklin Ave, Hartford, CT 06114, ",https://s3-media3.fl.yelpcdn.com/bphoto/rxMQZtHXiBgG5wP1Kpv9lw/o.jpg,(860) 296-9646,41.7325057,-72.674179
83,Caribe Restaurant,4.0,Caribbean,$$,686 Park St,Hartford,6106,US,"Caribe Restaurant, 686 Park St, Hartford, CT 06106, ",https://s3-media2.fl.yelpcdn.com/bphoto/VVftuxd1ISOEJDUVzWFNiA/o.jpg,(860) 548-0776,41.7582916,-72.6884324
84,Carl's BBQ & Jerk,4.5,Caribbean,$$,285 Silver Ln,East Hartford,6118,US,"Carl's BBQ & Jerk, 285 Silver Ln, East Hartford, CT 06118, ",https://s3-media3.fl.yelpcdn.com/bphoto/wCpgvtf0h-7YGTrWDxlvrg/o.jpg,(860) 568-3644,41.7619557,-72.6320709
85,"Carmine's Bar, Grill & Stage",4.5,Pubs,$$,389 Main St,East Hartford,6118,US,"Carmine's Bar, Grill & Stage, 389 Main St, East Hartford, CT 06118, ",https://s3-media4.fl.yelpcdn.com/bphoto/-tMPb_lhFBKh9XnEST3Z6Q/o.jpg,(860) 206-4580,41.7484486,-72.6384696
86,Carson’s Kitchen,4.0,Caribbean,,3155 Main St,Hartford,6120,US,"Carson’s Kitchen, 3155 Main St, Hartford, CT 06120, ",https://s3-media3.fl.yelpcdn.com/bphoto/n7F5BZVGcKDzaNVNtS1Z4Q/o.jpg,(860) 244-0943,41.7946575,-72.66456099999999
87,Casona Restaurant,3.0,Latin American,$$,681 Wethersfield Ave,Hartford,6114,US,"Casona Restaurant, 681 Wethersfield Ave, Hartford, CT 06114, ",https://s3-media3.fl.yelpcdn.com/bphoto/X2b4WFFSdV-rQFcC0thnOg/o.jpg,(860) 519-5590,41.7372736,-72.67153189999999
88,Castillo's Pizzeria,3.0,Pizza,$,1257 Main St,East Hartford,6108,US,"Castillo's Pizzeria, 1257 Main St, East Hartford, CT 06108, ",https://s3-media2.fl.yelpcdn.com/bphoto/39oo86tnEGzlNEWpidfXQw/o.jpg,(860) 528-1615,41.7752011,-72.6401853
89,Cavros Pizzeria,3.5,Pizza,$$,184 Main St,East Hartford,6118,US,"Cavros Pizzeria, 184 Main St, East Hartford, CT 06118, ",https://s3-media2.fl.yelpcdn.com/bphoto/zL3inqDC7ATSfPM70T95Ig/o.jpg,(860) 895-1102,41.736309,-72.6280469
90,The Bar & Grill,5.0,American (Traditional),,512 Cedar St,Newington,6111,US,"The Bar & Grill, 512 Cedar St, Newington, CT 06111, ",,(646) 813-7285,41.69539650000001,-72.7468902
91,Chang Jiang Chinese Restaurant,3.5,Chinese,$$,112 Main St,East Hartford,6118,US,"Chang Jiang Chinese Restaurant, 112 Main St, East Hartford, CT 06118, ",https://s3-media1.fl.yelpcdn.com/bphoto/Hf0ZQNXaCg6tdrZ_dENLvw/o.jpg,(860) 568-0817,41.7325927,-72.62392779999999
